timestamp,date,activity,,
25/11/2003 9:00,25/11/2003,5,,
25/11/2003 9:01,25/11/2003,3,,314.3121595
25/11/2003 9:02,25/11/2003,3,,
25/11/2003 9:03,25/11/2003,3,,
25/11/2003 9:04,25/11/2003,3,,
25/11/2003 9:05,25/11/2003,3,,
25/11/2003 9:06,25/11/2003,3,,
25/11/2003 9:07,25/11/2003,3,,
25/11/2003 9:08,25/11/2003,3,,
25/11/2003 9:09,25/11/2003,3,,
25/11/2003 9:10,25/11/2003,3,,
25/11/2003 9:11,25/11/2003,3,,
25/11/2003 9:12,25/11/2003,3,,
25/11/2003 9:13,25/11/2003,3,,
25/11/2003 9:14,25/11/2003,3,,
25/11/2003 9:15,25/11/2003,3,,
25/11/2003 9:16,25/11/2003,3,,
25/11/2003 9:17,25/11/2003,3,,
25/11/2003 9:18,25/11/2003,3,,
25/11/2003 9:19,25/11/2003,3,,
25/11/2003 9:20,25/11/2003,3,,
25/11/2003 9:21,25/11/2003,3,,
25/11/2003 9:22,25/11/2003,3,,
25/11/2003 9:23,25/11/2003,3,,
25/11/2003 9:24,25/11/2003,3,,
25/11/2003 9:25,25/11/2003,3,,
25/11/2003 9:26,25/11/2003,3,,
25/11/2003 9:27,25/11/2003,3,,
25/11/2003 9:28,25/11/2003,3,,
25/11/2003 9:29,25/11/2003,3,,
25/11/2003 9:30,25/11/2003,3,,
25/11/2003 9:31,25/11/2003,3,,
25/11/2003 9:32,25/11/2003,3,,
25/11/2003 9:33,25/11/2003,3,,
25/11/2003 9:34,25/11/2003,3,,
25/11/2003 9:35,25/11/2003,3,,
25/11/2003 9:36,25/11/2003,3,,
25/11/2003 9:37,25/11/2003,3,,
25/11/2003 9:38,25/11/2003,3,,
25/11/2003 9:39,25/11/2003,3,,
25/11/2003 9:40,25/11/2003,3,,
25/11/2003 9:41,25/11/2003,3,,
25/11/2003 9:42,25/11/2003,3,,
25/11/2003 9:43,25/11/2003,3,,
25/11/2003 9:44,25/11/2003,3,,
25/11/2003 9:45,25/11/2003,3,,
25/11/2003 9:46,25/11/2003,3,,
25/11/2003 9:47,25/11/2003,3,,
25/11/2003 9:48,25/11/2003,3,,
25/11/2003 9:49,25/11/2003,3,,
25/11/2003 9:50,25/11/2003,3,,
25/11/2003 9:51,25/11/2003,3,,
25/11/2003 9:52,25/11/2003,3,,
25/11/2003 9:53,25/11/2003,3,,
25/11/2003 9:54,25/11/2003,3,,
25/11/2003 9:55,25/11/2003,3,,
25/11/2003 9:56,25/11/2003,3,,
25/11/2003 9:57,25/11/2003,689,,
25/11/2003 9:58,25/11/2003,517,,
25/11/2003 9:59,25/11/2003,259,,
25/11/2003 10:00,25/11/2003,485,,
25/11/2003 10:01,25/11/2003,242,,
25/11/2003 10:02,25/11/2003,439,,
25/11/2003 10:03,25/11/2003,79,,
25/11/2003 10:04,25/11/2003,242,,
25/11/2003 10:05,25/11/2003,8,,
25/11/2003 10:06,25/11/2003,3,,
25/11/2003 10:07,25/11/2003,5,,
25/11/2003 10:08,25/11/2003,3,,
25/11/2003 10:09,25/11/2003,3,,
25/11/2003 10:10,25/11/2003,3,,
25/11/2003 10:11,25/11/2003,0,,
25/11/2003 10:12,25/11/2003,0,,
25/11/2003 10:13,25/11/2003,0,,
25/11/2003 10:14,25/11/2003,0,,
25/11/2003 10:15,25/11/2003,0,,
25/11/2003 10:16,25/11/2003,0,,
25/11/2003 10:17,25/11/2003,3,,
25/11/2003 10:18,25/11/2003,3,,
25/11/2003 10:19,25/11/2003,3,,
25/11/2003 10:20,25/11/2003,3,,
25/11/2003 10:21,25/11/2003,3,,
25/11/2003 10:22,25/11/2003,3,,
25/11/2003 10:23,25/11/2003,3,,
25/11/2003 10:24,25/11/2003,3,,
25/11/2003 10:25,25/11/2003,3,,
25/11/2003 10:26,25/11/2003,3,,
25/11/2003 10:27,25/11/2003,3,,
25/11/2003 10:28,25/11/2003,3,,
25/11/2003 10:29,25/11/2003,3,,
25/11/2003 10:30,25/11/2003,3,,
25/11/2003 10:31,25/11/2003,3,,
25/11/2003 10:32,25/11/2003,3,,
25/11/2003 10:33,25/11/2003,3,,
25/11/2003 10:34,25/11/2003,0,,
25/11/2003 10:35,25/11/2003,0,,
25/11/2003 10:36,25/11/2003,0,,
25/11/2003 10:37,25/11/2003,0,,
25/11/2003 10:38,25/11/2003,0,,
25/11/2003 10:39,25/11/2003,0,,
25/11/2003 10:40,25/11/2003,0,,
25/11/2003 10:41,25/11/2003,0,,
25/11/2003 10:42,25/11/2003,0,,
25/11/2003 10:43,25/11/2003,0,,
25/11/2003 10:44,25/11/2003,0,,
25/11/2003 10:45,25/11/2003,0,,
25/11/2003 10:46,25/11/2003,0,,
25/11/2003 10:47,25/11/2003,0,,
25/11/2003 10:48,25/11/2003,0,,
25/11/2003 10:49,25/11/2003,0,,
25/11/2003 10:50,25/11/2003,0,,
25/11/2003 10:51,25/11/2003,425,,
25/11/2003 10:52,25/11/2003,8,,
25/11/2003 10:53,25/11/2003,3,,
25/11/2003 10:54,25/11/2003,0,,
25/11/2003 10:55,25/11/2003,0,,
25/11/2003 10:56,25/11/2003,0,,
25/11/2003 10:57,25/11/2003,0,,
25/11/2003 10:58,25/11/2003,0,,
25/11/2003 10:59,25/11/2003,3,,
25/11/2003 11:00,25/11/2003,0,,
25/11/2003 11:01,25/11/2003,0,,
25/11/2003 11:02,25/11/2003,0,,
25/11/2003 11:03,25/11/2003,0,,
25/11/2003 11:04,25/11/2003,0,,
25/11/2003 11:05,25/11/2003,5,,
25/11/2003 11:06,25/11/2003,43,,
25/11/2003 11:07,25/11/2003,689,,
25/11/2003 11:08,25/11/2003,361,,
25/11/2003 11:09,25/11/2003,890,,
25/11/2003 11:10,25/11/2003,978,,
25/11/2003 11:11,25/11/2003,469,,
25/11/2003 11:12,25/11/2003,49,,
25/11/2003 11:13,25/11/2003,148,,
25/11/2003 11:14,25/11/2003,40,,
25/11/2003 11:15,25/11/2003,79,,
25/11/2003 11:16,25/11/2003,52,,
25/11/2003 11:17,25/11/2003,306,,
25/11/2003 11:18,25/11/2003,242,,
25/11/2003 11:19,25/11/2003,55,,
25/11/2003 11:20,25/11/2003,606,,
25/11/2003 11:21,25/11/2003,296,,
25/11/2003 11:22,25/11/2003,76,,
25/11/2003 11:23,25/11/2003,88,,
25/11/2003 11:24,25/11/2003,18,,
25/11/2003 11:25,25/11/2003,30,,
25/11/2003 11:26,25/11/2003,219,,
25/11/2003 11:27,25/11/2003,91,,
25/11/2003 11:28,25/11/2003,44,,
25/11/2003 11:29,25/11/2003,190,,
25/11/2003 11:30,25/11/2003,3,,
25/11/2003 11:31,25/11/2003,0,,
25/11/2003 11:32,25/11/2003,3,,
25/11/2003 11:33,25/11/2003,73,,
25/11/2003 11:34,25/11/2003,70,,
25/11/2003 11:35,25/11/2003,37,,
25/11/2003 11:36,25/11/2003,398,,
25/11/2003 11:37,25/11/2003,250,,
25/11/2003 11:38,25/11/2003,172,,
25/11/2003 11:39,25/11/2003,250,,
25/11/2003 11:40,25/11/2003,102,,
25/11/2003 11:41,25/11/2003,550,,
25/11/2003 11:42,25/11/2003,626,,
25/11/2003 11:43,25/11/2003,250,,
25/11/2003 11:44,25/11/2003,67,,
25/11/2003 11:45,25/11/2003,259,,
25/11/2003 11:46,25/11/2003,398,,
25/11/2003 11:47,25/11/2003,373,,
25/11/2003 11:48,25/11/2003,67,,
25/11/2003 11:49,25/11/2003,219,,
25/11/2003 11:50,25/11/2003,76,,
25/11/2003 11:51,25/11/2003,30,,
25/11/2003 11:52,25/11/2003,184,,
25/11/2003 11:53,25/11/2003,178,,
25/11/2003 11:54,25/11/2003,70,,
25/11/2003 11:55,25/11/2003,82,,
25/11/2003 11:56,25/11/2003,102,,
25/11/2003 11:57,25/11/2003,0,,
25/11/2003 11:58,25/11/2003,24,,
25/11/2003 11:59,25/11/2003,125,,
25/11/2003 12:00,25/11/2003,259,,
25/11/2003 12:01,25/11/2003,500,,
25/11/2003 12:02,25/11/2003,259,,
25/11/2003 12:03,25/11/2003,349,,
25/11/2003 12:04,25/11/2003,517,,
25/11/2003 12:05,25/11/2003,0,,
25/11/2003 12:06,25/11/2003,212,,
25/11/2003 12:07,25/11/2003,338,,
25/11/2003 12:08,25/11/2003,242,,
25/11/2003 12:09,25/11/2003,212,,
25/11/2003 12:10,25/11/2003,626,,
25/11/2003 12:11,25/11/2003,978,,
25/11/2003 12:12,25/11/2003,646,,
25/11/2003 12:13,25/11/2003,328,,
25/11/2003 12:14,25/11/2003,55,,
25/11/2003 12:15,25/11/2003,130,,
25/11/2003 12:16,25/11/2003,154,,
25/11/2003 12:17,25/11/2003,197,,
25/11/2003 12:18,25/11/2003,533,,
25/11/2003 12:19,25/11/2003,349,,
25/11/2003 12:20,25/11/2003,550,,
25/11/2003 12:21,25/11/2003,212,,
25/11/2003 12:22,25/11/2003,61,,
25/11/2003 12:23,25/11/2003,166,,
25/11/2003 12:24,25/11/2003,67,,
25/11/2003 12:25,25/11/2003,52,,
25/11/2003 12:26,25/11/2003,98,,
25/11/2003 12:27,25/11/2003,17,,
25/11/2003 12:28,25/11/2003,37,,
25/11/2003 12:29,25/11/2003,107,,
25/11/2003 12:30,25/11/2003,268,,
25/11/2003 12:31,25/11/2003,41,,
25/11/2003 12:32,25/11/2003,0,,
25/11/2003 12:33,25/11/2003,0,,
25/11/2003 12:34,25/11/2003,0,,
25/11/2003 12:35,25/11/2003,125,,
25/11/2003 12:36,25/11/2003,73,,
25/11/2003 12:37,25/11/2003,3,,
25/11/2003 12:38,25/11/2003,41,,
25/11/2003 12:39,25/11/2003,70,,
25/11/2003 12:40,25/11/2003,862,,
25/11/2003 12:41,25/11/2003,1042,,
25/11/2003 12:42,25/11/2003,500,,
25/11/2003 12:43,25/11/2003,835,,
25/11/2003 12:44,25/11/2003,1521,,
25/11/2003 12:45,25/11/2003,1042,,
25/11/2003 12:46,25/11/2003,978,,
25/11/2003 12:47,25/11/2003,306,,
25/11/2003 12:48,25/11/2003,55,,
25/11/2003 12:49,25/11/2003,17,,
25/11/2003 12:50,25/11/2003,111,,
25/11/2003 12:51,25/11/2003,70,,
25/11/2003 12:52,25/11/2003,277,,
25/11/2003 12:53,25/11/2003,212,,
25/11/2003 12:54,25/11/2003,783,,
25/11/2003 12:55,25/11/2003,1146,,
25/11/2003 12:56,25/11/2003,439,,
25/11/2003 12:57,25/11/2003,67,,
25/11/2003 12:58,25/11/2003,178,,
25/11/2003 12:59,25/11/2003,17,,
25/11/2003 13:00,25/11/2003,21,,
25/11/2003 13:01,25/11/2003,43,,
25/11/2003 13:02,25/11/2003,27,,
25/11/2003 13:03,25/11/2003,70,,
25/11/2003 13:04,25/11/2003,46,,
25/11/2003 13:05,25/11/2003,890,,
25/11/2003 13:06,25/11/2003,1010,,
25/11/2003 13:07,25/11/2003,184,,
25/11/2003 13:08,25/11/2003,82,,
25/11/2003 13:09,25/11/2003,143,,
25/11/2003 13:10,25/11/2003,130,,
25/11/2003 13:11,25/11/2003,386,,
25/11/2003 13:12,25/11/2003,91,,
25/11/2003 13:13,25/11/2003,268,,
25/11/2003 13:14,25/11/2003,425,,
25/11/2003 13:15,25/11/2003,184,,
25/11/2003 13:16,25/11/2003,125,,
25/11/2003 13:17,25/11/2003,296,,
25/11/2003 13:18,25/11/2003,85,,
25/11/2003 13:19,25/11/2003,111,,
25/11/2003 13:20,25/11/2003,373,,
25/11/2003 13:21,25/11/2003,154,,
25/11/2003 13:22,25/11/2003,139,,
25/11/2003 13:23,25/11/2003,184,,
25/11/2003 13:24,25/11/2003,219,,
25/11/2003 13:25,25/11/2003,130,,
25/11/2003 13:26,25/11/2003,40,,
25/11/2003 13:27,25/11/2003,235,,
25/11/2003 13:28,25/11/2003,24,,
25/11/2003 13:29,25/11/2003,9,,
25/11/2003 13:30,25/11/2003,35,,
25/11/2003 13:31,25/11/2003,184,,
